text,label
"My desktop says network cable unplugged but it's connected","Network / Wi-Fi"
"Guest Wi-Fi is not available in the meeting room","Network / Wi-Fi"
"Intermittent network connectivity in the warehouse","Network / Wi-Fi"
"Can't connect to the network after moving to a new desk","Network / Wi-Fi"
"The wireless keeps asking me to sign in every hour","Network / Wi-Fi"
"I can't connect to the VPN from home","VPN"
"The VPN client keeps disconnecting every few minutes","VPN"
"VPN says authentication failed even with the right password","VPN"
"I need VPN access to work remotely this week","VPN"
"VPN connects but I can't reach any internal servers","VPN"
"The VPN client won't install on my laptop","VPN"
"My VPN token is not being accepted","VPN"
"VPN is extremely slow when accessing shared drives","VPN"
"Getting a certificate error when connecting to the VPN","VPN"
"VPN disconnects whenever my laptop goes to sleep","VPN"
"Remote access VPN is down, I can't log in from home","VPN"
"Need help setting up the VPN on my new laptop","VPN"
"VPN keeps prompting for MFA but never actually connects","VPN"
"Cannot start the VPN, it says the connection timed out","VPN"
"The printer on the third floor is not printing","Printer"
"My print jobs are stuck in the queue and won't print","Printer"
"The printer says paper jam but there's no paper stuck","Printer"
"I can't add the network printer to my laptop","Printer"
"The printer is out of toner and printing faint pages","Printer"
"The scanner on the multifunction printer is not working","Printer"
"Printing comes out with lines across every page","Printer"
"My documents print blank pages only","Printer"
"The printer keeps going offline every day","Printer"
"I need the finance printer installed on my computer","Printer"
"Print jobs disappear from the queue without printing","Printer"
"The color printer only prints in black and white","Printer"
"Getting a driver error when I try to print","Printer"
"The shared printer is not showing up on the network","Printer"
"My laptop won't turn on at all this morning","Hardware"
"My monitor is not displaying anything, the screen is black","Hardware"
"The keyboard on my laptop has stopped working","Hardware"
"My mouse is not being detected by the computer","Hardware"
"My laptop battery drains within an hour","Hardware"
"The docking station won't connect to my external monitors","Hardware"
"My laptop screen is flickering constantly","Hardware"
"The webcam on my laptop is not working","Hardware"
"My computer keeps overheating and shutting down","Hardware"
"One of my two monitors stopped working after a reboot","Hardware"
"The USB ports on my laptop are not responding","Hardware"
"My headset is not recognized by the computer","Hardware"
"My laptop is making a loud fan noise and running slow","Hardware"
"My desktop won't boot, it beeps and shows no display","Hardware"
"I need Adobe Acrobat installed on my work laptop","Software Installation"
"Please install the latest version of Zoom for me","Software Installation"
"I'm getting an error when trying to install the software myself","Software Installation"
"Can you install Python and VS Code on my machine","Software Installation"
"The application won't update, it says access denied","Software Installation"
"I need a license and installation for AutoCAD","Software Installation"
"Requesting installation of the accounting software","Software Installation"
"Software install failed with error code 1603","Software Installation"
"I need Microsoft Project installed for a new assignment","Software Installation"
"Please push the security update to my laptop, it won't install","Software Installation"
"I need admin rights to install a required plugin","Software Installation"
"The app I installed keeps crashing on launch","Software Installation"
"Requesting installation of Slack on my desktop","Software Installation"
"Can you reinstall Office, it was removed by mistake","Software Installation"
"I need access to the CRM system for my new role","Access Request"
"Please grant me access to the finance reporting dashboard","Access Request"
"Requesting access to the HR portal","Access Request"
"I need permission to view the sales SharePoint site","Access Request"
"Can I get access to the shared project management tool","Access Request"
"My manager approved my access to the ERP system","Access Request"
"I need read access to the marketing analytics platform","Access Request"
"Requesting elevated access to the ticketing system","Access Request"
"Please give me access to the internal wiki","Access Request"
"I need access to the production database for reporting","Access Request"
"Requesting access to the design software license pool","Access Request"
"Can you add me to the distribution list for finance","Access Request"
"I need access to the customer support tool","Access Request"
"Please grant access to the timesheet application","Access Request"
"I can't access the shared folder on the network drive","Shared Folder"
"The mapped drive disappeared and I need it restored","Shared Folder"
"I need write permission to the marketing shared folder","Shared Folder"
"The shared drive is showing access denied","Shared Folder"
"Can you map the finance network drive on my computer","Shared Folder"
"Files in the shared folder are read-only, I need edit access","Shared Folder"
"My department's shared folder is not visible anymore","Shared Folder"
"I need access to the project shared folder on the file server","Shared Folder"
"The network drive letter changed and my shortcuts are broken","Shared Folder"
"The shared folder keeps asking for credentials I don't have","Shared Folder"
"Please restore a file I deleted from the shared folder","Shared Folder"
"I can't open documents in the team shared folder","Shared Folder"
"Need access to the archived shared folder for an audit","Shared Folder"
"The shared drive is very slow to open files","Shared Folder"
"I received a suspicious email asking for my password","Security / Phishing"
"I think I clicked a phishing link, what should I do","Security / Phishing"
"There's a strange email pretending to be from the CEO","Security / Phishing"
"My computer might have a virus, it's acting strange","Security / Phishing"
"I got an email with a suspicious attachment, is it safe to open","Security / Phishing"
"Someone is trying to phish our finance team","Security / Phishing"
"I received a scam text pretending to be IT support","Security / Phishing"
"My antivirus flagged a threat and I'm not sure what to do","Security / Phishing"
"I entered my credentials on a fake login page by mistake","Security / Phishing"
"Reporting a phishing email that looks like a Microsoft alert","Security / Phishing"
"My account may be hacked, I see logins I don't recognize","Security / Phishing"
"A suspicious pop-up says my computer is infected, is it real","Security / Phishing"
"Got a malware warning on my screen, I need urgent help","Security / Phishing"
"Received a fraudulent invoice email, it looks like phishing","Security / Phishing"
"We have a new hire starting Monday who needs a laptop and accounts","New Hire Setup"
"Please set up accounts for our new employee joining next week","New Hire Setup"
"New starter needs email, Teams, and VPN access before their first day","New Hire Setup"
"Onboarding a new team member, they need a computer and logins","New Hire Setup"
"New hire setup request for the marketing department","New Hire Setup"
"Can you provision a laptop and phone for a new employee","New Hire Setup"
"New employee needs access to the standard software set","New Hire Setup"
"Setting up a new contractor, they need temporary accounts","New Hire Setup"
"New hire in finance needs the ERP and shared drives configured","New Hire Setup"
"Please create a user account for our new sales rep","New Hire Setup"
"New starter needs a desk phone and headset configured","New Hire Setup"
"Onboarding request: new developer needs admin tools installed","New Hire Setup"
"New employee cannot log in on their first day, account not ready","New Hire Setup"
"Requesting full IT setup for three new hires starting next month","New Hire Setup"
"An employee is leaving Friday, please disable their accounts","Offboarding"
"Offboarding request: revoke all access for a departing employee","Offboarding"
"Please disable the account for someone who resigned today","Offboarding"
"We need to offboard a contractor whose contract has ended","Offboarding"
"Terminate access for an employee effective end of day","Offboarding"
"Departing employee, please archive their mailbox and disable login","Offboarding"
"Remove all system access for a team member who left","Offboarding"
"Offboarding: collect the laptop and wipe accounts for former staff","Offboarding"
"Please disable VPN and email for an employee leaving next week","Offboarding"
"Employee termination, disable the Active Directory account immediately","Offboarding"
"We need to remove access for someone moving to another company","Offboarding"
"Offboard request for a seasonal worker finishing this week","Offboarding"
"Please transfer the files and disable the account of a leaver","Offboarding"
"Disable all accounts for an employee let go this morning","Offboarding"
"The entire office has lost internet, this is a major outage","Escalation Required"
"Our production server is down and it's affecting all customers","Escalation Required"
"Critical: the whole finance system is unavailable company-wide","Escalation Required"
"Multiple users cannot log in, this looks like a system-wide issue","Escalation Required"
"The email server appears to be down for everyone","Escalation Required"
"Urgent, the payroll system is failing and payday is today","Escalation Required"
"The main application is down and the whole team is blocked","Escalation Required"
"The company website is offline, this is a critical incident","Escalation Required"
"All printers and network drives are down across the building","Escalation Required"
"Escalating: a security breach may be in progress right now","Escalation Required"
"The database outage is impacting every department","Escalation Required"
"The phone system is completely down for the entire call center","Escalation Required"
"Widespread VPN outage, no remote staff can connect at all","Escalation Required"
"Major incident: ransomware appears to be spreading across the network","Escalation Required"
