text,label
MY INVOICE SHOWS INCORRECT CHARGES,billing
my invoice shows incorrect charges thank you.,billing
My account shows the wrong name This is urgent.,account
I NEED HELP GETTING STARTED THANK YOU.,general
"HI, CAN YOU EXPLAIN HOW THE PRICING WORKS?",general
"Hi, i need to update my profile information",account
Why was I charged $50 when it should be $30? Please help!,billing
"I can't log into my account, it says error 500 Please help!",technical
MY ORDER IS STUCK IN TRANSIT PLEASE HELP!,shipping
what are your business hours? i've been waiting for a response.,general
I need help understanding my billing statement I've been waiting for a response.,billing
i keep getting error messages when uploading files,technical
HOW DO I CONTACT CUSTOMER SUPPORT? PLEASE HELP!,general
I want to delete my account This is urgent.,account
MY SUBSCRIPTION AUTO-RENEWED BUT I CANCELLED IT THIS IS URGENT.,billing
i want to know more about your privacy policy this is urgent.,general
I FORGOT MY PASSWORD AND CAN'T RESET IT,account
can i get expedited shipping?,shipping
I WAS CHARGED THE WRONG AMOUNT ON MY INVOICE I'VE BEEN WAITING FOR A RESPONSE.,billing
Do you offer discounts for students? I've been waiting for a response.,general
i want to know more about your privacy policy i've been waiting for a response.,general
i keep getting error messages when uploading files this is urgent.,technical
I have a suggestion for improvement,general
I want to provide feedback about your service,general
I NEED TO CHANGE MY EMAIL ADDRESS THIS IS URGENT.,account
THE APP KEEPS CRASHING WHEN I TRY TO OPEN IT,technical
I was double charged for my subscription this month,billing
I keep getting error messages when uploading files,technical
I need to update my profile information I've been waiting for a response.,account
"HI, I WANT TO RETURN MY ORDER",shipping
Can I get expedited shipping? I've been waiting for a response.,shipping
I need help getting started Thank you.,general
I WAS DOUBLE CHARGED FOR MY SUBSCRIPTION THIS MONTH THANK YOU.,billing
I WANT TO PROVIDE FEEDBACK ABOUT YOUR SERVICE THANK YOU.,general
How do I contact customer support? Thank you.,general
i want to cancel my subscription and get a refund i've been waiting for a response.,billing
Can you provide a new tracking number?,shipping
I NEED HELP UNDERSTANDING MY BILLING STATEMENT PLEASE HELP!,billing
"HI, I NEED TO CHANGE MY EMAIL ADDRESS",account
I WAS CHARGED FOR A SERVICE I DIDN'T USE THANK YOU.,billing
the tracking number shows delivered but i didn't get it please help!,shipping
I WANT TO CHANGE MY USERNAME THIS IS URGENT.,account
I HAVEN'T RECEIVED MY PACKAGE YET THIS IS URGENT.,shipping
I WANT TO PROVIDE FEEDBACK ABOUT YOUR SERVICE I'VE BEEN WAITING FOR A RESPONSE.,general
I need help recovering my account Thank you.,account
The API is returning 404 errors Please help!,technical
"HI, I NEED TO CHANGE MY EMAIL ADDRESS",account
I need to update my profile information Thank you.,account
I need help getting started This is urgent.,general
MY INVOICE SHOWS INCORRECT CHARGES I'VE BEEN WAITING FOR A RESPONSE.,billing
the api is returning 404 errors i've been waiting for a response.,technical
I WANT TO PROVIDE FEEDBACK ABOUT YOUR SERVICE THANK YOU.,general
The feature I need is not working properly This is urgent.,technical
CAN I GET A PRORATED REFUND? I'VE BEEN WAITING FOR A RESPONSE.,billing
I'M INTERESTED IN UPGRADING MY PLAN,general
I CAN'T FIND MY ACCOUNT USING MY PHONE NUMBER PLEASE HELP!,account
my invoice shows incorrect charges i've been waiting for a response.,billing
MY ACCOUNT SHOWS THE WRONG NAME THIS IS URGENT.,account
I have a suggestion for improvement This is urgent.,general
I need to change my shipping address Please help!,shipping
"Hi, i need help recovering my account",account
I need a refund for my last payment,billing
I'M INTERESTED IN UPGRADING MY PLAN,general
the app keeps crashing when i try to open it this is urgent.,technical
the search function is broken this is urgent.,technical
The package arrived damaged This is urgent.,shipping
my order is stuck in transit i've been waiting for a response.,shipping
I want to cancel my subscription and get a refund This is urgent.,billing
I want to provide feedback about your service I've been waiting for a response.,general
What payment methods do you accept? Please help!,general
How do I cancel my account? Thank you.,general
can i get expedited shipping? please help!,shipping
I need to update my payment method,billing
Can you explain the charges on my bill? Thank you.,billing
I'm getting a connection timeout error This is urgent.,technical
"HI, I NEED HELP GETTING STARTED",general
My order is stuck in transit This is urgent.,shipping
I want to learn more about your features This is urgent.,general
"hi, my order was shipped to the wrong address",shipping
"I CAN'T ACCESS MY ACCOUNT, IT SAYS ACCOUNT SUSPENDED THANK YOU.",account
I need help understanding my billing statement,billing
CAN I GET EXPEDITED SHIPPING? PLEASE HELP!,shipping
my account shows the wrong name thank you.,account
My order was shipped to the wrong address,shipping
The package arrived damaged I've been waiting for a response.,shipping
"Hi, can you send me more information?",general
My subscription auto-renewed but I cancelled it I've been waiting for a response.,billing
I can't download my reports,technical
I was double charged for my subscription this month,billing
I NEED HELP RECOVERING MY ACCOUNT THIS IS URGENT.,account
"hi, why was i charged $50 when it should be $30?",billing
My account settings are not saving,account
THE APP FREEZES WHEN I CLICK ON SETTINGS PLEASE HELP!,technical
I was charged the wrong amount on my invoice I've been waiting for a response.,billing
"I CAN'T LOG INTO MY ACCOUNT, IT SAYS ERROR 500 I'VE BEEN WAITING FOR A RESPONSE.",technical
I want to return my order Thank you.,shipping
MY SUBSCRIPTION AUTO-RENEWED BUT I CANCELLED IT THIS IS URGENT.,billing
The app freezes when I click on settings I've been waiting for a response.,technical
I WAS DOUBLE CHARGED FOR MY SUBSCRIPTION THIS MONTH THANK YOU.,billing
"HI, HOW DO I CONTACT CUSTOMER SUPPORT?",general
My credit card was charged twice for the same order I've been waiting for a response.,billing
I KEEP GETTING ERROR MESSAGES WHEN UPLOADING FILES THANK YOU.,technical
I forgot my password and can't reset it Thank you.,account
HOW DO I CANCEL MY ACCOUNT?,general
I NEED TO VERIFY MY EMAIL ADDRESS,account
"HI, HOW DO I CONTACT CUSTOMER SUPPORT?",general
what are your business hours? i've been waiting for a response.,general
"HI, I WANT TO CANCEL MY SUBSCRIPTION AND GET A REFUND",billing
Can I get a prorated refund?,billing
"Hi, i can't find my account using my phone number",account
I haven't received my package yet Please help!,shipping
I want to learn more about your features This is urgent.,general
"Hi, i need to cancel my order before it ships",shipping
i can't log in with my email address,account
I NEED TO UPDATE MY PAYMENT METHOD THANK YOU.,billing
can i get a prorated refund? thank you.,billing
What's the status of my shipment? Thank you.,shipping
"Hi, i want to provide feedback about your service",general
CAN I GET A PRORATED REFUND? THIS IS URGENT.,billing
I forgot my password and can't reset it,account
i have a suggestion for improvement thank you.,general
"Hi, what's the status of my shipment?",shipping
I'm interested in upgrading my plan I've been waiting for a response.,general
i can't find my account using my phone number this is urgent.,account
i want to delete my account this is urgent.,account
"Hi, i need to update my profile information",account
the app keeps crashing when i try to open it,technical
MY DASHBOARD IS SHOWING BLANK PAGES THANK YOU.,technical
I NEED TO CHANGE MY SHIPPING ADDRESS PLEASE HELP!,shipping
My account settings are not saving Please help!,account
I have a suggestion for improvement Thank you.,general
I need help understanding my billing statement This is urgent.,billing
"HI, WHERE IS MY ORDER? IT'S BEEN 2 WEEKS",shipping
THE WEBSITE IS LOADING VERY SLOWLY THIS IS URGENT.,technical
"Hi, i'm experiencing lag when using the application",technical
I WANT TO PROVIDE FEEDBACK ABOUT YOUR SERVICE,general
THE WEBSITE IS LOADING VERY SLOWLY,technical
